TABLE_DESC_ENG,UNIT1E,NOTE1E,SOURCE_ENG1,Year,Quarter,Region,Province,Education,SORT_ID,Education Detail,Sex,?????
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Kanchana Buri,    Higher education,5,    Technical Education,Total,26617
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Kanchana Buri,    Higher education,6,    Teacher Training,Total,13610.23
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Suphanburi,    Higher education,4,    Academic,Total,47053.22
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Suphanburi,    Higher education,5,    Technical Education,Total,18397.33
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Suphanburi,    Higher education,6,    Teacher Training,Total,10979.09
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Nakhon Pathom,    Higher education,4,    Academic,Total,112284.27
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Nakhon Pathom,    Higher education,5,    Technical Education,Total,38619.39
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Nakhon Pathom,    Higher education,6,    Teacher Training,Total,22409.11
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Samut Sakhon,    Higher education,4,    Academic,Total,112509.38
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Samut Sakhon,    Higher education,5,    Technical Education,Total,44104.47
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Samut Sakhon,    Higher education,6,    Teacher Training,Total,10782.85
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Samut Songkhram,    Higher education,4,    Academic,Total,17107.11
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Samut Songkhram,    Higher education,5,    Technical Education,Total,7727
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Samut Songkhram,    Higher education,6,    Teacher Training,Total,4230.19
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Phetcha Buri,    Higher education,4,    Academic,Total,41815.99
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Phetcha Buri,    Higher education,5,    Technical Education,Total,17706.2
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Phetcha Buri,    Higher education,6,    Teacher Training,Total,11795.56
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Prachuap Khiri Khan,    Higher education,4,    Academic,Total,31088.67
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Prachuap Khiri Khan,    Higher education,5,    Technical Education,Total,22769.59
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Central Region,Prachuap Khiri Khan,    Higher education,6,    Teacher Training,Total,6838.04
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2021,Quarter 1,Central Region,Central Region,    Higher education,4,    Academic,Total,2338276.5
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2021,Quarter 1,Central Region,Central Region,    Higher education,5,    Technical Education,Total,961463.92
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2021,Quarter 1,Central Region,Central Region,    Higher education,6,    Teacher Training,Total,329261.66
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2021,Quarter 1,Central Region,Samut Prakan,    Higher education,4,    Academic,Total,291929.68
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2021,Quarter 1,Central Region,Samut Prakan,    Higher education,5,    Technical Education,Total,109292.57
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2021,Quarter 1,Central Region,Samut Prakan,    Higher education,6,    Teacher Training,Total,23819.12
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2021,Quarter 1,Central Region,Nonthaburi,    Higher education,4,    Academic,Total,472629.13
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2021,Quarter 1,Central Region,Nonthaburi,    Higher education,5,    Technical Education,Total,89740.36
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2021,Quarter 1,Central Region,Nonthaburi,    Higher education,6,    Teacher Training,Total,45378.05
