province_id,province,Type of Construction,2014,2015,2016,2017,2018,2019,2020,2021,2022
75,Sa Kaew,Harbour,,,,0,0,0,0,0,0
75,Sa Kaew,Sport ground,,1344,,0,0,0,0,0,0
75,Sa Kaew,Car park,21600,964,0,8200,0,0,13860,196,4963
75,Sa Kaew,Advertisting board,,448,0,495,527,0,20,35,750
75,Sa Kaew,Phone Antenna,,,,,,90,108,39,65
75,Sa Kaew,Others,1100,1769,936,213,2411,0,129,9022,16
8,Phetchaburi,Fence / wall,,,,,,,,,
30,Ratchaburi,Engineering construction measured in length,14145,20539,10489,15105,13480,13709,11490,17708,12680
30,Ratchaburi,Fence / wall,12912,16644,9272,13229,8668,11519,7963,14826,11547
30,Ratchaburi,Road,690,2068,1000,222,4154,1145,0,713,0
30,Ratchaburi,Bridge,134,74,0,47,34,0,141,300,12
30,Ratchaburi,Dam,,70,93,116,57,97,443,955,68
30,Ratchaburi,Water drain,409,1288,124,1491,567,948,2943,914,1053
30,Ratchaburi,Others,,395,,0,0,0,0,0,0
30,Ratchaburi,Engineering construction measured in area,49538,61810,15250,47170,32238,35380,60525,14768,12764
30,Ratchaburi,Swimming pool,123,20,440,1265,788,692,789,1181,0
30,Ratchaburi,Petrol station (Oil/LPG/NGV),5323,27716,6890,7165,18677,10999,12332,4227,1902
30,Ratchaburi,Harbour,,,,0,276,450,1259,99,144
30,Ratchaburi,Sport ground,2550,1020,,800,0,0,5668,0,0
30,Ratchaburi,Car park,24349,13973,189,14807,4718,22221,39327,4020,6940
30,Ratchaburi,Advertisting board,1115,13147,314,806,617,321,148,555,152
30,Ratchaburi,Phone Antenna,,,,,,697,946,722,1076
30,Ratchaburi,Others,16078,5934,7417,22327,7162,0,56,3964,2550
73,Kanchanaburi,Engineering construction measured in length,3675,1515,0,2343,6294,2775,1430,1216,456
73,Kanchanaburi,Fence / wall,517,1175,0,2064,2721,325,440,1140,173
73,Kanchanaburi,Road,1180,,,0,2800,1860,888,0,0
73,Kanchanaburi,Bridge,,,,0,0,0,0,0,0
73,Kanchanaburi,Dam,,,,0,0,0,0,0,0
73,Kanchanaburi,Water drain,1978,340,0,279,773,590,102,76,283
73,Kanchanaburi,Others,,,,0,0,0,0,0,0
73,Kanchanaburi,Engineering construction measured in area,7607,64618,15,8314,16594,4842,15771,4476,1295
73,Kanchanaburi,Swimming pool,824,220,,189,0,0,0,0,0
73,Kanchanaburi,Petrol station (Oil/LPG/NGV),372,42680,0,2458,3064,1433,246,1843,160
73,Kanchanaburi,Harbour,,,,0,0,0,0,0,0
73,Kanchanaburi,Sport ground,,,0,0,0,0,0,0,0
73,Kanchanaburi,Car park,4151,21328,0,4884,6414,3093,14913,2618,802
73,Kanchanaburi,Advertisting board,245,249,15,615,264,12,122,0,0
73,Kanchanaburi,Phone Antenna,,,,,,68,490,15,201
73,Kanchanaburi,Others,2015,141,0,168,6852,236,0,0,132
48,Suphan Buri,Engineering construction measured in length,4525,3360,0,2409,1307,2996,5108,6676,2780
48,Suphan Buri,Fence / wall,1669,1552,0,379,692,1870,4583,4548,1839
