id,Province,Year,Student (persons),Student (thousands)
20,Kalasin,2017,"245,417",245.417
20,Kalasin,2018,"271,426",271.426
20,Kalasin,2019,"272,208",272.208
20,Kalasin,2020,"271,762",271.762
20,Kalasin,2021,"298,970",298.97
36,Kam Phaeng Phet,2014,"139,849",139.849
36,Kam Phaeng Phet,2015,"170,110",170.11
36,Kam Phaeng Phet,2016,"242,975",242.975
36,Kam Phaeng Phet,2017,"257,241",257.241
36,Kam Phaeng Phet,2018,"257,279",257.279
36,Kam Phaeng Phet,2019,"258,766",258.766
36,Kam Phaeng Phet,2020,"287,147",287.147
36,Kam Phaeng Phet,2021,"314,464",314.464
73,Kanchanaburi,2014,"264,057",264.057
73,Kanchanaburi,2015,"310,951",310.951
73,Kanchanaburi,2016,"281,697",281.697
73,Kanchanaburi,2017,"270,536",270.536
73,Kanchanaburi,2018,"287,776",287.776
73,Kanchanaburi,2019,"289,195",289.195
73,Kanchanaburi,2020,"342,927",342.927
73,Kanchanaburi,2021,"373,664",373.664
15,Khon Kaen,2014,"667,044",667.044
15,Khon Kaen,2015,"680,668",680.668
15,Khon Kaen,2016,"690,610",690.61
15,Khon Kaen,2017,"668,449",668.449
15,Khon Kaen,2018,"674,905",674.905
15,Khon Kaen,2019,"732,944",732.944
15,Khon Kaen,2020,"756,002",756.002
15,Khon Kaen,2021,"911,734",911.734
63,Krabi,2014,"173,086",173.086
63,Krabi,2015,"158,592",158.592
63,Krabi,2016,"159,498",159.498
63,Krabi,2017,"175,202",175.202
63,Krabi,2018,"182,785",182.785
63,Krabi,2019,"190,311",190.311
63,Krabi,2020,"202,069",202.069
63,Krabi,2021,"202,409",202.409
37,Lampang,2014,"341,687",341.687
37,Lampang,2015,"357,339",357.339
37,Lampang,2016,"393,407",393.407
37,Lampang,2017,"458,240",458.24
37,Lampang,2018,"428,784",428.784
37,Lampang,2019,"372,172",372.172
37,Lampang,2020,"425,716",425.716
37,Lampang,2021,"497,955",497.955
28,Lamphun,2014,"205,766",205.766
28,Lamphun,2015,"219,078",219.078
28,Lamphun,2016,"237,921",237.921
28,Lamphun,2017,"238,285",238.285
28,Lamphun,2018,"226,497",226.497
28,Lamphun,2019,"243,669",243.669
28,Lamphun,2020,"266,654",266.654
28,Lamphun,2021,"264,403",264.403
16,Loei,2014,"108,212",108.212
16,Loei,2015,"132,389",132.389
16,Loei,2016,"135,326",135.326
16,Loei,2017,"158,341",158.341
16,Loei,2018,"168,636",168.636
16,Loei,2019,"193,918",193.918
16,Loei,2020,"210,499",210.499
16,Loei,2021,"187,105",187.105
62,Lop Buri,2014,"323,588",323.588
62,Lop Buri,2015,"367,570",367.57
62,Lop Buri,2016,"346,900",346.9
62,Lop Buri,2017,"342,471",342.471
62,Lop Buri,2018,"357,349",357.349
62,Lop Buri,2019,"416,326",416.326
62,Lop Buri,2020,"461,692",461.692
62,Lop Buri,2021,"402,122",402.122
74,Mae Hong Son,2014,"50,974",50.974
74,Mae Hong Son,2015,"57,553",57.553
