id,shapeISO,region,province,year,total_sol,mean_sol,gpp(millions),gdp,"population(1,000 persons)",pop,gdppc
15,TH-40,NE,Khon Kaen,2019,42094.613,0.8046,135169,135000000000,1716,1716000,78770
15,TH-40,NE,Khon Kaen,2020,45319.8055,0.8662,130935,131000000000,1714,1714000,76391
15,TH-40,NE,Khon Kaen,2021,51323.8149,0.981,132615,133000000000,1711,1711000,77507
16,TH-42,NE,Loei,2014,7033.3301,0.1375,25944,25944000000,544,544000,47691
16,TH-42,NE,Loei,2015,7597.8558,0.1486,26696,26696000000,544,544000,49074
16,TH-42,NE,Loei,2016,7356.7751,0.1439,28228,28228000000,544,544000,51890
16,TH-42,NE,Loei,2017,10049.6728,0.1965,30627,30627000000,544,544000,56300
16,TH-42,NE,Loei,2018,11036.3966,0.2158,33994,33994000000,543,543000,62604
16,TH-42,NE,Loei,2019,11678.89,0.2284,33241,33241000000,542,542000,61330
16,TH-42,NE,Loei,2020,12764.2207,0.2496,31437,31437000000,540,540000,58217
16,TH-42,NE,Loei,2021,15020.724,0.2937,32686,32686000000,538,538000,60755
46,TH-44,NE,Maha Sarakham,2014,10180.4029,0.3648,29537,29537000000,812,812000,36376
46,TH-44,NE,Maha Sarakham,2015,11834.4779,0.4241,30419,30419000000,809,809000,37601
46,TH-44,NE,Maha Sarakham,2016,12239.1378,0.4386,32111,32111000000,802,802000,40039
46,TH-44,NE,Maha Sarakham,2017,16481.1197,0.5906,33512,33512000000,797,797000,42048
46,TH-44,NE,Maha Sarakham,2018,18137.0913,0.65,34391,34391000000,792,792000,43423
46,TH-44,NE,Maha Sarakham,2019,19436.0673,0.6965,33797,33797000000,786,786000,42999
46,TH-44,NE,Maha Sarakham,2020,20994.7226,0.7524,35199,35199000000,780,780000,45127
46,TH-44,NE,Maha Sarakham,2021,23395.3574,0.8384,36935,36935000000,775,775000,47658
61,TH-49,NE,Mukdahan,2014,3481.9052,0.175,14134,14134000000,379,379000,37293
61,TH-49,NE,Mukdahan,2015,3969.979,0.1995,14615,14615000000,385,385000,37961
61,TH-49,NE,Mukdahan,2016,4017.1119,0.2019,15044,15044000000,391,391000,38476
61,TH-49,NE,Mukdahan,2017,5562.2389,0.2795,16236,16236000000,398,398000,40794
61,TH-49,NE,Mukdahan,2018,6467.6508,0.325,16530,16530000000,404,404000,40916
61,TH-49,NE,Mukdahan,2019,6806.3489,0.342,17319,17319000000,410,410000,42241
61,TH-49,NE,Mukdahan,2020,8281.106,0.4161,16223,16223000000,416,416000,38998
61,TH-49,NE,Mukdahan,2021,9288.0885,0.4667,17534,17534000000,422,422000,41550
72,TH-48,NE,Nakhon Phanom,2014,7749.8489,0.2841,22149,22149000000,575,575000,38520
72,TH-48,NE,Nakhon Phanom,2015,9131.8783,0.3347,22863,22863000000,573,573000,39901
72,TH-48,NE,Nakhon Phanom,2016,8750.8324,0.3208,24192,24192000000,568,568000,42592
72,TH-48,NE,Nakhon Phanom,2017,12325.6725,0.4518,24355,24355000000,565,565000,43106
72,TH-48,NE,Nakhon Phanom,2018,12600.4558,0.4619,23762,23762000000,561,561000,42357
72,TH-48,NE,Nakhon Phanom,2019,11705.4198,0.4291,24269,24269000000,557,557000,43571
72,TH-48,NE,Nakhon Phanom,2020,14735.6169,0.5401,25052,25052000000,552,552000,45384
72,TH-48,NE,Nakhon Phanom,2021,18902.9917,0.6929,26042,26042000000,548,548000,47522
6,TH-30,NE,Nakhon Ratchasima,2014,41439.6692,0.413,160847,161000000000,2520,2520000,63828
6,TH-30,NE,Nakhon Ratchasima,2015,46645.3418,0.4649,163289,163000000000,2518,2518000,64849
6,TH-30,NE,Nakhon Ratchasima,2016,49556.7266,0.4939,168843,169000000000,2517,2517000,67081
6,TH-30,NE,Nakhon Ratchasima,2017,60448.025,0.6025,177028,177000000000,2516,2516000,70361
6,TH-30,NE,Nakhon Ratchasima,2018,63311.3424,0.631,187488,187000000000,2515,2515000,74548
6,TH-30,NE,Nakhon Ratchasima,2019,68205.2258,0.6798,185904,186000000000,2511,2511000,74036
6,TH-30,NE,Nakhon Ratchasima,2020,74024.8543,0.7378,183955,184000000000,2507,2507000,73377
6,TH-30,NE,Nakhon Ratchasima,2021,84525.4644,0.8424,194006,194000000000,2502,2502000,77540
13,TH-43,NE,Nong Khai,2014,5762.5261,0.3541,21535,21535000000,457,457000,47123
13,TH-43,NE,Nong Khai,2015,7017.2586,0.4312,22480,22480000000,457,457000,49190
13,TH-43,NE,Nong Khai,2016,7715.8822,0.4741,23228,23228000000,457,457000,50827
13,TH-43,NE,Nong Khai,2017,10693.765,0.6571,23734,23734000000,457,457000,51934
13,TH-43,NE,Nong Khai,2018,11813.0113,0.7258,23528,23528000000,456,456000,51596
13,TH-43,NE,Nong Khai,2019,11466.0347,0.7045,23910,23910000000,456,456000,52434
13,TH-43,NE,Nong Khai,2020,12900.4997,0.7927,24139,24139000000,455,455000,53053
13,TH-43,NE,Nong Khai,2021,14962.5391,0.9194,25096,25096000000,455,455000,55156
3,TH-39,NE,Nongbua Lamphu,2014,5117.8156,0.2423,15395,15395000000,484,484000,31808
3,TH-39,NE,Nongbua Lamphu,2015,5686.3284,0.2692,15891,15891000000,483,483000,32901
3,TH-39,NE,Nongbua Lamphu,2016,5598.7006,0.2651,16963,16963000000,481,481000,35266
3,TH-39,NE,Nongbua Lamphu,2017,7264.3954,0.344,17152,17152000000,480,480000,35733
3,TH-39,NE,Nongbua Lamphu,2018,7657.3606,0.3626,18553,18553000000,478,478000,38814
3,TH-39,NE,Nongbua Lamphu,2019,7978.0649,0.3777,18080,18080000000,476,476000,37983
3,TH-39,NE,Nongbua Lamphu,2020,9409.6864,0.4455,17234,17234000000,474,474000,36359
3,TH-39,NE,Nongbua Lamphu,2021,11141.8519,0.5275,18061,18061000000,472,472000,38265
0,TH-45,NE,Roi Et,2014,10367.5018,0.2761,40204,40204000000,1084,1084000,37089
0,TH-45,NE,Roi Et,2015,12050.7707,0.3209,40873,40873000000,1084,1084000,37706
0,TH-45,NE,Roi Et,2016,11931.435,0.3178,42244,42244000000,1079,1079000,39151
0,TH-45,NE,Roi Et,2017,17748.8751,0.4727,43890,43890000000,1073,1073000,40904
0,TH-45,NE,Roi Et,2018,18810.6513,0.501,45204,45204000000,1068,1068000,42326
0,TH-45,NE,Roi Et,2019,18751.4409,0.4994,44188,44188000000,1062,1062000,41608
0,TH-45,NE,Roi Et,2020,22672.8425,0.6038,45580,45580000000,1056,1056000,43163
0,TH-45,NE,Roi Et,2021,27716.3738,0.7381,46628,46628000000,1050,1050000,44408
24,TH-47,NE,Sakon Nakhon,2014,8879.4038,0.1897,29899,29899000000,937,937000,31909
24,TH-47,NE,Sakon Nakhon,2015,10292.5525,0.2199,30798,30798000000,936,936000,32904
24,TH-47,NE,Sakon Nakhon,2016,10453.0101,0.2233,33157,33157000000,932,932000,35576
24,TH-47,NE,Sakon Nakhon,2017,15794.4035,0.3374,33673,33673000000,929,929000,36247
